# t/s   p1/mbar     p2/mbar     p3/mbar     p4/mbar     p5/mbar     p6/mbar
  0     1.0     1.0     1.0     10.0     50.0   100.0
 10     3.3     3.5     3.2     18.7     77.3   144.4
 20     3.7     3.9     3.6     23.0     95.7   187.8
 30     4.0     4.1     3.9     27.2    114.2   211.7
 40     4.3     4.4     4.2     31.0    132.5   245.9
 50     4.5     4.6     4.5     35.8    150.9   280.1
 60     4.8     5.0     4.8     40.0    169.3   314.4
 70     5.2     5.4     5.2     44.8    187.7   348.5
 80     5.5     5.7     5.5     48.6    205.2   382.6
 90     5.8     6.0     5.8     53.0    223.6   416.9
100     6.1     6.2     6.1     57.2    242.1   450.0
110     6.4     6.5     6.4     61.5    260.3   483.6
120     6.6     6.7     6.6     66.1    280.7   516.4
130     6.9     7.0     6.9     70.4    300.9   549.9
140     7.2     7.3     7.2     75.2    315.5   581.2
150     7.4     7.6     7.5     78.4    334.1   612.7
160     7.7     7.8     7.7     82.8    352.3   643.4
170     7.9     8.0     8.0     87.1    370.8   673.1
180     8.1     8.3     8.1     91.3    389.9   702.0
190     8.4     8.5     8.4     95.5    407.2   729.9
200     8.5     8.7     8.6     99.8    425.6   756.5
